                   x                    y                    z                   vx                   vy                   vz                    m                    t                   Fx                   Fy                   Fz                F_mod               dist_r               dist_v 
  0.8248968669443681 -0.020289267526463026 0.000926025199571437 -0.016771751610325715   0.1181002480049202 0.001223980496345271   0.9999920926582105         0.0274291184          0.019558184          0.019558184         -0.019558184          0.033875767    43222.02774677679   260.09267390621307 
  0.8244823662538596 -0.017005970557875005 0.0009506815660769751 -0.013429348416443464  0.12122010644323014 0.0005733373736242339   0.9999597339008561         0.0548582368          0.014874526          0.017521884         -0.017521884          0.028901286    42395.90446947948    332.9249222849375 
  0.8241595391470051 -0.01364464126382423 0.0009582253453950049 -0.01009028963351249  0.12378882721455964 -2.344455422745168e-05   0.9999321268609338         0.0822873552         -0.023449076         -0.012861205         -0.029744413                 0.04   38982.549723230506    427.5413512365898 
  0.8239151903092816 -0.010230911672460812 0.0009447985513870698 -0.007717725430778869  0.12504883712702167 -0.0009553148359523583    0.999893918124186         0.1097164736           -0.0162472          0.009501633         -0.031481493          0.036678836   36664.688028576245    339.0858510576637 
  0.8237394060774561 -0.006780472701852013 0.0009051935639709594 -0.005088699183559674  0.12646250234766596 -0.0019316995950468098   0.9998588818238338          0.137145592         -0.039922945        -0.0021034896        -0.0013166455                 0.04     33679.5949943745   307.78735513174774 
  0.8236275482705427 -0.003301921984878855 0.0008502332418732217 -0.0030630857260706052  0.12710362466293226 -0.0020746321348015465    0.999820673087086  0.16457471040000002         -0.039987456       -0.00033119434       -0.00094529334                 0.04   29160.446165314523   240.86884000962655 
  0.8235714891589622 0.00018885117005329845 0.0007915858735515892 -0.0010236256157147292  0.12735336869596683 -0.0022004614328207267   0.9997824643503382  0.19200382880000003          0.006916202         -0.003894879          0.006916202          0.010527953   22877.193773767925   159.06490480788614 
  0.8235889621823619 0.0036787655912812562 0.0007325443111151821 0.0022941527057919768   0.1270293708225695 -0.0021033649351448695   0.9997724078560964  0.21943294720000003                 -0.0                 -0.0                 -0.0                  0.0   1028.7459103454792   6.5205381082907135 
  0.8236944902433743 0.007154315120840334 0.0006736617562970104  0.00539483492242167  0.12630819874702898 -0.00218887192163713   0.9997724078560964  0.24686206560000004                 -0.0                 -0.0                 -0.0                  0.0   1098.5880631651225    7.173745787141997 
  0.8238845201287772 0.010603286099404355 0.0006125335812642457 0.008452524273411583  0.12509223774391753 -0.002267060053186049   0.9997724078560964          0.274291184                 -0.0                 -0.0                 -0.0                  0.0   1175.7530123565602   7.8745921478108105 
