         # x	           y	           z	          vx	          vy	          vz	           C
   0.8547367	   0.0064304	   0.0000000	   0.0019777	  -0.1326529	   0.0000000	   3.1743734
   0.8547601	   0.0045985	   0.0000000	   0.0014075	  -0.1331295	   0.0000000	   3.1743734
   0.8547755	   0.0027611	   0.0000000	   0.0008430	  -0.1334479	   0.0000000	   3.1743734
   0.8547833	   0.0009204	   0.0000000	   0.0002820	  -0.1336073	   0.0000000	   3.1743734
   0.8547833	  -0.0009213	   0.0000000	  -0.0002779	  -0.1336073	   0.0000000	   3.1743734
   0.8547756	  -0.0027620	   0.0000000	  -0.0008389	  -0.1334479	   0.0000000	   3.1743734
   0.8547602	  -0.0045993	   0.0000000	  -0.0014034	  -0.1331296	   0.0000000	   3.1743734
   0.8547369	  -0.0064312	   0.0000000	  -0.0019736	  -0.1326531	   0.0000000	   3.1743734
   0.8547058	  -0.0082555	   0.0000000	  -0.0025517	  -0.1320196	   0.0000000	   3.1743734
   0.8546665	  -0.0100699	   0.0000000	  -0.0031397	  -0.1312307	   0.0000000	   3.1743734
   0.8546191	  -0.0118724	   0.0000000	  -0.0037397	  -0.1302882	   0.0000000	   3.1743734
   0.8545634	  -0.0136608	   0.0000000	  -0.0043534	  -0.1291945	   0.0000000	   3.1743734
   0.8544990	  -0.0154332	   0.0000000	  -0.0049823	  -0.1279521	   0.0000000	   3.1743734
   0.8544260	  -0.0171874	   0.0000000	  -0.0056280	  -0.1265640	   0.0000000	   3.1743734
   0.8543438	  -0.0189215	   0.0000000	  -0.0062916	  -0.1250332	   0.0000000	   3.1743734
   0.8542524	  -0.0206336	   0.0000000	  -0.0069740	  -0.1233632	   0.0000000	   3.1743734
   0.8541515	  -0.0223216	   0.0000000	  -0.0076761	  -0.1215577	   0.0000000	   3.1743734
   0.8540407	  -0.0239839	   0.0000000	  -0.0083982	  -0.1196205	   0.0000000	   3.1743734
   0.8539199	  -0.0256186	   0.0000000	  -0.0091407	  -0.1175556	   0.0000000	   3.1743734
   0.8537887	  -0.0272240	   0.0000000	  -0.0099036	  -0.1153671	   0.0000000	   3.1743734
   0.8536468	  -0.0287984	   0.0000000	  -0.0106866	  -0.1130593	   0.0000000	   3.1743734
   0.8534940	  -0.0303402	   0.0000000	  -0.0114891	  -0.1106366	   0.0000000	   3.1743734
   0.8533300	  -0.0318478	   0.0000000	  -0.0123107	  -0.1081033	   0.0000000	   3.1743734
   0.8531545	  -0.0333198	   0.0000000	  -0.0131502	  -0.1054641	   0.0000000	   3.1743734
   0.8529674	  -0.0347547	   0.0000000	  -0.0140065	  -0.1027232	   0.0000000	   3.1743734
   0.8527683	  -0.0361511	   0.0000000	  -0.0148785	  -0.0998854	   0.0000000	   3.1743734
   0.8525572	  -0.0375078	   0.0000000	  -0.0157644	  -0.0969549	   0.0000000	   3.1743734
   0.8523337	  -0.0388234	   0.0000000	  -0.0166627	  -0.0939364	   0.0000000	   3.1743734
   0.8520977	  -0.0400969	   0.0000000	  -0.0175716	  -0.0908342	   0.0000000	   3.1743734
   0.8518493	  -0.0413271	   0.0000000	  -0.0184891	  -0.0876528	   0.0000000	   3.1743734
   0.8515881	  -0.0425129	   0.0000000	  -0.0194131	  -0.0843964	   0.0000000	   3.1743734
   0.8513141	  -0.0436533	   0.0000000	  -0.0203416	  -0.0810693	   0.0000000	   3.1743734
   0.8510273	  -0.0447474	   0.0000000	  -0.0212722	  -0.0776758	   0.0000000	   3.1743734
   0.8507277	  -0.0457943	   0.0000000	  -0.0222026	  -0.0742199	   0.0000000	   3.1743734
   0.8504152	  -0.0467932	   0.0000000	  -0.0231305	  -0.0707057	   0.0000000	   3.1743734
   0.8500900	  -0.0477432	   0.0000000	  -0.0240536	  -0.0671371	   0.0000000	   3.1743734
   0.8497522	  -0.0486437	   0.0000000	  -0.0249693	  -0.0635181	   0.0000000	   3.1743734
   0.8494018	  -0.0494940	   0.0000000	  -0.0258753	  -0.0598525	   0.0000000	   3.1743734
   0.8490390	  -0.0502935	   0.0000000	  -0.0267691	  -0.0561440	   0.0000000	   3.1743734
   0.8486639	  -0.0510415	   0.0000000	  -0.0276483	  -0.0523963	   0.0000000	   3.1743734
   0.8482769	  -0.0517377	   0.0000000	  -0.0285105	  -0.0486130	   0.0000000	   3.1743734
   0.8478780	  -0.0523815	   0.0000000	  -0.0293534	  -0.0447976	   0.0000000	   3.1743734
   0.8474678	  -0.0529725	   0.0000000	  -0.0301747	  -0.0409537	   0.0000000	   3.1743734
   0.8470463	  -0.0535104	   0.0000000	  -0.0309721	  -0.0370846	   0.0000000	   3.1743734
   0.8466141	  -0.0539947	   0.0000000	  -0.0317433	  -0.0331937	   0.0000000	   3.1743734
   0.8461714	  -0.0544253	   0.0000000	  -0.0324862	  -0.0292843	   0.0000000	   3.1743734
   0.8457187	  -0.0548019	   0.0000000	  -0.0331988	  -0.0253597	   0.0000000	   3.1743734
   0.8452563	  -0.0551244	   0.0000000	  -0.0338791	  -0.0214232	   0.0000000	   3.1743734
   0.8447849	  -0.0553925	   0.0000000	  -0.0345250	  -0.0174779	   0.0000000	   3.1743734
   0.8443047	  -0.0556061	   0.0000000	  -0.0351348	  -0.0135270	   0.0000000	   3.1743734
   0.8438165	  -0.0557653	   0.0000000	  -0.0357067	  -0.0095737	   0.0000000	   3.1743734
   0.8433206	  -0.0558701	   0.0000000	  -0.0362389	  -0.0056210	   0.0000000	   3.1743734
   0.8428177	  -0.0559203	   0.0000000	  -0.0367300	  -0.0016720	   0.0000000	   3.1743734
   0.8423083	  -0.0559162	   0.0000000	  -0.0371784	   0.0022701	   0.0000000	   3.1743734
   0.8417930	  -0.0558578	   0.0000000	  -0.0375827	   0.0062023	   0.0000000	   3.1743734
   0.8412725	  -0.0557453	   0.0000000	  -0.0379416	   0.0101215	   0.0000000	   3.1743734
   0.8407473	  -0.0555788	   0.0000000	  -0.0382539	   0.0140248	   0.0000000	   3.1743734
   0.8402181	  -0.0553587	   0.0000000	  -0.0385184	   0.0179090	   0.0000000	   3.1743734
   0.8396857	  -0.0550852	   0.0000000	  -0.0387341	   0.0217712	   0.0000000	   3.1743734
   0.8391505	  -0.0547587	   0.0000000	  -0.0389001	   0.0256082	   0.0000000	   3.1743734
   0.8386135	  -0.0543794	   0.0000000	  -0.0390155	   0.0294171	   0.0000000	   3.1743734
   0.8380753	  -0.0539479	   0.0000000	  -0.0390797	   0.0331949	   0.0000000	   3.1743734
   0.8375365	  -0.0534645	   0.0000000	  -0.0390920	   0.0369385	   0.0000000	   3.1743734
   0.8369979	  -0.0529298	   0.0000000	  -0.0390518	   0.0406449	   0.0000000	   3.1743734
